step,epoch,epoch_step,loss,learn_rate
500,499,0,0.2436306,0.004
1000,999,0,0.1358043,0.004
1500,1499,0,0.2578930,0.004
2000,1999,0,0.3045300,0.004
2500,2499,0,0.1547649,0.004
3000,2999,0,0.2089558,0.004
3500,3499,0,0.2673847,0.004
4000,3999,0,0.2397163,0.004
4500,4499,0,0.2217743,0.004
5000,4999,0,0.1108662,0.004
